Data size,Bubble Sort,,Insertion Sort,,Selection Sort,,Quick Sort,,Merge Sort,,Heap Sort,
size,time,comparison,time,comparison,time,comparison,time,comparison,time,comparison,time,comparison
10,0.000004,45,0.000001,29,0.000001,45,0.000002,23,0.000004,25,0.000003,42
50,0.000019,1225,0.000006,623,0.000014,1225,0.000009,230,0.000019,220,0.000013,420
100,0.000098,4950,0.000023,2551,0.000042,4950,0.000016,581,0.000027,536,0.000025,1042
1000,0.003694,499500,0.001278,248116,0.005244,499500,0.000156,11675,0.0007,8725,0.001415,16822
5000,0.061812,12497500,0.019552,6310876,0.030364,12497500,0.000493,69657,0.000754,55238,0.001039,107530
10000,0.216924,49995000,0.07226,25126491,0.126777,49995000,0.001091,162958,0.001699,120547,0.00226,235431
50000,7.132271,1249975000,1.754018,625596128,3.358756,1249975000,0.005978,917853,0.008575,717946,0.014382,1409844
100000,29.08508,4999950000,6.731328,2497556382,13.847212,4999950000,0.012815,1955882,0.018558,1536337,0.028154,3019799
250000,187.723461,31249875000,40.898674,15646138861,86.550257,31249875000,0.038509,5388059,0.050643,4168955,0.079185,8198660
500000,768.779052,1.25E+11,169.376132,62495841572,357.001489,1.25E+11,0.075117,11384452,0.110896,8837772,0.187054,17396297
